267.0,313.0,77,74,36,41
227.0,301.0,16,98,67,43
268.0,384.0,86,0,63,40
448.0,384.0,32,24,63,17
444.0,434.0,34,2,26,99
102.0,222.0,25,51,33,26
342.0,455.0,10,87,50,67
177.0,472.0,32,20,17,7
319.0,285.0,17,2,43,78
408.0,141.0,21,75,50,87
110.0,384.0,87,8,66,33
99.0,422.0,60,25,31,43
430.0,395.0,2,79,61,68
412.0,495.0,89,79,19,41
413.0,161.0,3,90,53,5
149.0,181.0,46,39,90,90
489.0,190.0,51,46,6,83
198.0,412.0,10,82,76,61
155.0,204.0,5,66,63,37
389.0,315.0,66,73,73,16
99.0,290.0,71,65,3,67
419.0,362.0,71,34,71,93
446.0,471.0,57,43,55,32
372.0,427.0,56,80,65,62
443.0,258.0,90,92,31,59
300.0,111.0,31,20,14,25
374.0,200.0,44,22,35,21
232.0,208.0,79,4,5,38
339.0,392.0,56,77,94,6
329.0,450.0,53,89,72,43
370.0,352.0,74,96,46,72
323.0,343.0,44,5,36,76
446.0,251.0,100,68,99,77
307.0,470.0,41,31,96,35
281.0,132.0,54,6,98,8
153.0,134.0,72,2,30,49
383.0,433.0,0,48,60,9
491.0,377.0,86,52,23,45
264.0,239.0,31,27,2,42
201.0,256.0,54,59,5,29
465.0,480.0,54,83,91,4
475.0,339.0,49,44,71,7
428.0,335.0,47,98,66,57
334.0,433.0,97,64,9,53
173.0,299.0,90,99,95,21
209.0,494.0,30,0,1,74
317.0,414.0,90,11,66,2
490.0,254.0,55,89,40,29
293.0,242.0,90,35,98,19
364.0,283.0,26,42,15,73
308.0,231.0,44,86,6,43
204.0,299.0,34,47,52,75
120.0,397.0,52,85,50,19
159.0,200.0,36,6,34,73
338.0,347.0,62,33,10,17
418.0,364.0,80,55,97,97
466.0,478.0,23,4,97,52
232.0,465.0,87,69,87,44
246.0,192.0,38,16,35,80
125.0,303.0,30,2,72,29
358.0,316.0,47,62,84,61
151.0,232.0,27,51,81,79
435.0,441.0,14,45,84,75
282.0,341.0,66,77,14,97
246.0,389.0,88,28,76,35
336.0,299.0,35,33,51,93
383.0,221.0,80,94,24,52
222.0,284.0,82,14,84,82
244.0,287.0,62,63,14,47
478.0,365.0,39,75,4,26
435.0,275.0,31,7,98,82
298.0,471.0,17,6,56,90
246.0,168.0,83,4,67,83
336.0,200.0,38,49,31,20
371.0,147.0,77,32,24,12
471.0,121.0,8,50,13,68
170.0,135.0,83,32,87,77
427.0,475.0,23,14,47,21
327.0,400.0,75,47,87,94
431.0,154.0,76,5,95,84
155.0,136.0,92,20,66,38
461.0,331.0,56,67,73,14
290.0,173.0,37,17,97,78
386.0,424.0,79,97,29,76
357.0,132.0,80,0,6,53
168.0,135.0,12,61,37,88
209.0,293.0,94,9,62,30
287.0,448.0,50,79,34,76
498.0,235.0,99,62,53,95
417.0,136.0,56,16,28,21
484.0,476.0,56,41,91,50
387.0,448.0,33,99,22,100
287.0,448.0,50,79,34,76
331.0,211.0,34,92,82,20
338.0,312.0,76,70,35,90
421.0,442.0,98,50,40,93
158.0,299.0,86,98,64,36
135.0,161.0,81,60,69,42
328.0,343.0,92,71,97,53
104.0,433.0,40,35,69,48
