433.0,124.0,FIRE1,Event1,915,220,93,1912,40,279,true
347.0,147.0,FIRE2,Event2,977,110,93,43,22,88,true
350.0,128.0,FIRE3,Event3,964,1984,240,913,43,133,true
263.0,387.0,FIRE4,Event4,970,1803,1629,978,35,97,true
215.0,406.0,FIRE5,Event5,764,967,1232,1120,0,143,true
385.0,285.0,FIRE6,Event6,786,128,634,1588,28,68,true
443.0,174.0,FIRE7,Event7,474,599,1211,242,35,80,true
420.0,268.0,FIRE8,Event8,1821,1700,501,966,40,88,true
126.0,157.0,FIRE9,Event9,1509,1728,1078,1621,43,109,true
234.0,183.0,FIRE10,Event10,1742,758,1911,31,65,149,true
104.0,115.0,FIRE11,Event11,217,1233,598,1827,0,0,false
391.0,211.0,FIRE12,Event12,1521,1970,1037,875,55,152,true
497.0,368.0,FIRE13,Event13,621,1103,1373,678,25,255,true
332.0,224.0,FIRE14,Event14,1290,1883,695,1655,54,216,true
191.0,232.0,FIRE15,Event15,1719,1435,1660,1512,69,149,true
450.0,414.0,FIRE16,Event16,834,720,1294,1906,37,81,true
367.0,418.0,FIRE17,Event17,286,870,1459,1256,50,122,true
367.0,437.0,FIRE18,Event18,79,34,1062,955,43,129,true
462.0,282.0,FIRE19,Event19,1383,1202,1746,88,64,211,false
167.0,243.0,FIRE20,Event20,800,418,1216,21,73,186,true
461.0,236.0,FIRE21,Event21,422,1618,868,452,64,170,false
297.0,344.0,FIRE22,Event22,1408,881,514,1975,81,221,true
291.0,213.0,FIRE23,Event23,1872,1963,38,1175,100,277,false
380.0,119.0,FIRE24,Event24,610,705,1675,1877,0,340,false
480.0,240.0,FIRE25,Event25,1931,1689,1106,45,64,158,false
384.0,111.0,FIRE26,Event26,350,1964,893,14,73,191,true
378.0,380.0,FIRE27,Event27,814,1045,417,1215,64,189,false
355.0,122.0,FIRE28,Event28,161,144,1709,1939,100,276,false
214.0,397.0,FIRE29,Event29,1560,359,875,501,100,268,false
131.0,401.0,FIRE30,Event30,1012,952,1040,1851,100,227,false

6180,100,66.66666666666667,33.333333333333336,146.8,168.4
